Date,Open,High,Low,Close,Adj Close,Volume
2021-08-23,10.132000,10.234000,10.092000,10.234000,9.527454,15205357
2021-08-24,10.288000,10.358000,10.248000,10.318000,9.605656,13473152
2021-08-25,10.304000,10.340000,10.274000,10.330000,9.616826,8469631
2021-08-26,10.290000,10.368000,10.252000,10.306000,9.594483,10300966
2021-08-27,10.338000,10.450000,10.318000,10.428000,9.708061,14166843
2021-08-30,10.448000,10.492000,10.410000,10.432000,9.711784,8640464
2021-08-31,10.450000,10.472000,10.380000,10.454000,9.732265,18640305
2021-09-01,10.492000,10.616000,10.480000,10.496000,9.771366,19475031
2021-09-02,10.536000,10.680000,10.502000,10.632000,9.897977,17048493
2021-09-03,10.630000,10.660000,10.512000,10.530000,9.803019,14713759
2021-09-06,10.572000,10.678000,10.540000,10.586000,9.855153,10952359
2021-09-07,10.602000,10.664000,10.550000,10.582000,9.851429,11697761
2021-09-08,10.570000,10.694000,10.462000,10.590000,9.858876,18936416
2021-09-09,10.580000,10.654000,10.528000,10.586000,9.855153,13919894
2021-09-10,10.620000,10.652000,10.532000,10.544000,9.816052,12568028
2021-09-13,10.608000,10.848000,10.602000,10.806000,10.059963,28029686
2021-09-14,10.824000,11.008000,10.824000,10.904000,10.151198,21974204
2021-09-15,10.940000,11.068000,10.926000,10.990000,10.231260,20646537
2021-09-16,11.032000,11.198000,11.004000,11.024000,10.262913,30759090
2021-09-17,11.110000,11.164000,10.924000,10.942000,10.186575,36040734
2021-09-20,10.550000,10.584000,10.330000,10.414000,10.091608,26213320
2021-09-21,10.458000,10.708000,10.452000,10.606000,10.277664,19744092
2021-09-22,10.738000,10.928000,10.700000,10.886000,10.548996,22755868
2021-09-23,10.980000,10.998000,10.832000,10.902000,10.564502,15922933
2021-09-24,10.920000,10.978000,10.860000,10.932000,10.593573,12280924
2021-09-27,11.000000,11.208000,10.992000,11.186000,10.839709,22930665
2021-09-28,11.282000,11.438000,11.260000,11.264000,10.915295,28629086
2021-09-29,11.260000,11.404000,11.150000,11.388000,11.035456,17341462
2021-09-30,11.412000,11.578000,11.402000,11.546000,11.188564,27298469
2021-10-01,11.416000,11.544000,11.302000,11.482000,11.126546,19563954
2021-10-04,11.492000,11.758000,11.462000,11.642000,11.281592,25481124
2021-10-05,11.700000,11.914000,11.632000,11.848000,11.481215,28265202
2021-10-06,11.848000,11.848000,11.596000,11.666000,11.304850,22966517
2021-10-07,11.750000,11.798000,11.386000,11.588000,11.229264,25591317
2021-10-08,11.696000,11.900000,11.652000,11.858000,11.490906,25139901
2021-10-11,11.940000,12.072000,11.846000,12.006000,11.634323,22362197
2021-10-12,11.900000,12.012000,11.828000,11.974000,11.603314,16097752
2021-10-13,11.974000,11.992000,11.690000,11.822000,11.456019,19824484
2021-10-14,11.944000,12.046000,11.932000,11.980000,11.609128,19042947
2021-10-15,12.078000,12.226000,12.060000,12.208000,11.830070,21210629
2021-10-18,12.216000,12.304000,12.186000,12.236000,11.857203,17152230
2021-10-19,12.258000,12.294000,12.156000,12.172000,11.795185,16104721
2021-10-20,12.170000,12.350000,12.156000,12.318000,11.936666,13570949
2021-10-21,12.268000,12.318000,12.110000,12.134000,11.758361,15135627
2021-10-22,12.138000,12.218000,12.052000,12.078000,11.704095,13108483
2021-10-25,12.166000,12.336000,12.112000,12.278000,11.897903,14628741
2021-10-26,12.290000,12.500000,12.146000,12.358000,11.975427,19923852
