countryName,pollutant,reportingYear,emissions
Austria,Benzene,2008,7880
Austria,Mercury and compounds (as Hg),2008,334.79999999999995
Austria,Copper and compounds (as Cu),2009,458
Austria,Sulphur oxides (SOX),2009,6530000
Austria,Particulate matter (PM10),2010,1138900
Austria,Benzene,2011,4240
Austria,Copper and compounds (as Cu),2012,410
Austria,Hydro-fluorocarbons (HFCS),2012,268
Austria,Sulphur oxides (SOX),2012,7779000
Austria,"1,2-dichloroethane (DCE-1,2)",2013,2970
Austria,Particulate matter (PM10),2013,1435400
Austria,Copper and compounds (as Cu),2015,694
Austria,Hydro-fluorocarbons (HFCS),2015,290
Austria,Sulphur oxides (SOX),2015,7032000
Austria,"1,2-dichloroethane (DCE-1,2)",2016,3300
Austria,Particulate matter (PM10),2016,1356400
Austria,Hydro-fluorocarbons (HFCS),2018,821
Austria,Particulate matter (PM10),2019,906100
Belgium,Naphthalene,2007,48909
Belgium,Hexachlorobenzene (HCB),2008,14.5
Belgium,Hydro-fluorocarbons (HFCS),2008,210784
Belgium,"1,1,2,2-tetrachloroethane (TETRACHLOROETHANE-1,1,2,2)",2009,107
Belgium,"1,2-dichloroethane (DCE-1,2)",2009,58900
Belgium,Chlorofluorocarbons (CFCs),2009,55.4
Belgium,Tetrachloromethane (TCM),2009,911
Belgium,Hydrochlorofluorocarbons (HCFCs),2010,26751.52
Belgium,Naphthalene,2010,37979
Belgium,Chlorofluorocarbons (CFCs),2012,16.5
Belgium,Tetrachloromethane (TCM),2012,1041
Belgium,Chlorine and inorganic compounds (as HCl),2013,507000
Belgium,Hydrochlorofluorocarbons (HCFCs),2013,5328.7
Belgium,Naphthalene,2013,25790
Belgium,Cadmium and compounds (as Cd),2014,232.8
Belgium,"Benzo(g,h,i)perylene",2015,1.0375999999999999
Belgium,Chlorofluorocarbons (CFCs),2015,6.8
Belgium,Chromium and compounds (as Cr),2015,3023
Belgium,Tetrachloromethane (TCM),2015,383
Belgium,"1,1,1-trichloroethane (TCE-1,1,1)",2016,442
Belgium,Chlorine and inorganic compounds (as HCl),2016,469100
Belgium,Hydrochlorofluorocarbons (HCFCs),2016,54
Belgium,Naphthalene,2016,3329
Belgium,Cadmium and compounds (as Cd),2017,306
Belgium,"Benzo(g,h,i)perylene",2018,0.9563699999999999
Belgium,Chromium and compounds (as Cr),2018,1007
Belgium,Polycyclic aromatic hydrocarbons (PAHs),2018,248
Belgium,Tetrachloromethane (TCM),2018,931
Belgium,"1,1,1-trichloroethane (TCE-1,1,1)",2019,150
Belgium,Chlorine and inorganic compounds (as HCl),2019,421700
Belgium,Hydrochlorofluorocarbons (HCFCs),2019,24.3
Belgium,Cadmium and compounds (as Cd),2020,146.2
Belgium,Ammonia (NH3),2021,2735800
Belgium,Chromium and compounds (as Cr),2021,1183
Belgium,PCDD + PCDF (dioxins + furans) (as Teq),2021,0.068291
Belgium,Perfluorocarbons (PFCs),2021,20896
Belgium,Polycyclic aromatic hydrocarbons (PAHs),2021,211.9
Bulgaria,Ammonia (NH3),2007,8482700
Bulgaria,Chromium and compounds (as Cr),2007,856
Bulgaria,Carbon dioxide (CO2),2009,29828000000
Bulgaria,Non-methane volatile organic compounds (NMVOC),2009,3964000
Austria,Carbon monoxide (CO),2007,163261000
Austria,Copper and compounds (as Cu),2007,380
Austria,Zinc and compounds (as Zn),2007,18820
Austria,Chromium and compounds (as Cr),2008,389
Austria,Nitrogen oxides (NOX),2009,19103000
Austria,Carbon monoxide (CO),2010,124908000
Austria,PCDD + PCDF (dioxins + furans) (as Teq),2010,0.00164
Austria,Zinc and compounds (as Zn),2010,9934
Austria,Chromium and compounds (as Cr),2011,200
Austria,Methane (CH4),2011,13277000
Austria,Carbon monoxide (CO),2013,144702000
Austria,Dichloromethane (DCM),2013,18000
Austria,PCDD + PCDF (dioxins + furans) (as Teq),2013,0.00162
Austria,Zinc and compounds (as Zn),2013,13835
Austria,Methane (CH4),2014,9247000
Austria,Nickel and compounds (as Ni),2014,236
Austria,Chlorine and inorganic compounds (as HCl),2015,146500
Austria,Dichloromethane (DCM),2016,12400
Austria,PCDD + PCDF (dioxins + furans) (as Teq),2016,0.00138
Austria,Methane (CH4),2017,6626000
Austria,Nickel and compounds (as Ni),2017,370.4
Austria,Chlorine and inorganic compounds (as HCl),2018,55700
Austria,Dichloromethane (DCM),2019,11300
Austria,Nickel and compounds (as Ni),2020,153.8
Austria,Chlorine and inorganic compounds (as HCl),2021,11700
Belgium,Anthracene,2007,4620
Belgium,Arsenic and compounds (as As),2007,2501.3
Belgium,Hexachlorobenzene (HCB),2007,55.3
Belgium,Methane (CH4),2007,9337000
Belgium,Nickel and compounds (as Ni),2007,19961
Belgium,Tetrachloromethane (TCM),2007,881
Belgium,"1,2-dichloroethane (DCE-1,2)",2008,45060
Belgium,Chlorine and inorganic compounds (as HCl),2008,1160500
Belgium,Dichloromethane (DCM),2009,217450
Belgium,Anthracene,2010,2860
Belgium,Arsenic and compounds (as As),2010,1008.3
Belgium,Nickel and compounds (as Ni),2010,4449.2
Belgium,Tetrachloromethane (TCM),2010,843
Belgium,"1,2-dichloroethane (DCE-1,2)",2011,23970
Belgium,Chlorine and inorganic compounds (as HCl),2011,630100
Belgium,Lead and compounds (as Pb),2011,18860
Belgium,Dichloromethane (DCM),2012,186990
Belgium,Anthracene,2013,1610
Belgium,Arsenic and compounds (as As),2013,517.9
Belgium,Nickel and compounds (as Ni),2013,1601.7
Belgium,"1,2-dichloroethane (DCE-1,2)",2014,46200
Belgium,Chlorine and inorganic compounds (as HCl),2014,557300
Belgium,Chlorofluorocarbons (CFCs),2014,2
Belgium,Lead and compounds (as Pb),2014,13900
Belgium,Naphthalene,2015,4917
Belgium,Vinyl chloride,2015,18320
Belgium,Arsenic and compounds (as As),2016,226
Belgium,"1,2-dichloroethane (DCE-1,2)",2017,39310
Belgium,Chlorofluorocarbons (CFCs),2017,2
Belgium,Lead and compounds (as Pb),2017,16604
Belgium,Sulphur oxides (SOX),2017,26730000
Belgium,Hydrochlorofluorocarbons (HCFCs),2018,126
Belgium,Naphthalene,2018,1293
Belgium,Non-methane volatile organic compounds (NMVOC),2018,13736000
Belgium,Vinyl chloride,2018,17470
Austria,PCDD + PCDF (dioxins + furans) (as Teq),2007,0.00232
Austria,Methane (CH4),2008,18584000
Austria,Sulphur oxides (SOX),2008,7599000
Austria,Ammonia (NH3),2009,231700
Austria,Sulphur oxides (SOX),2011,7437000
Austria,Ammonia (NH3),2012,169800
Austria,Ammonia (NH3),2015,321500
Austria,Non-methane volatile organic compounds (NMVOC),2016,4508000
Austria,Non-methane volatile organic compounds (NMVOC),2019,4086000
Austria,Cadmium and compounds (as Cd),2020,29.7
Austria,Nitrous oxide (N2O),2020,211400
Belgium,Tetrachloroethylene,2007,257880
Belgium,"1,1,2,2-tetrachloroethane (TETRACHLOROETHANE-1,1,2,2)",2008,8621
Belgium,Ethylene oxide,2009,1320
Belgium,Fluorine and inorganic compounds (as HF),2009,73980
Belgium,Hydrochlorofluorocarbons (HCFCs),2009,46275.50000000001
Belgium,Non-methane volatile organic compounds (NMVOC),2009,26590000
Belgium,Cadmium and compounds (as Cd),2010,778.5
Belgium,Nitrous oxide (N2O),2010,8963400
Belgium,Tetrachloroethylene,2010,183340
Belgium,"1,1,2,2-tetrachloroethane (TETRACHLOROETHANE-1,1,2,2)",2011,2241
Belgium,Fluorine and inorganic compounds (as HF),2012,37570
Belgium,Hydrochlorofluorocarbons (HCFCs),2012,10148.849999999999
Belgium,Non-methane volatile organic compounds (NMVOC),2012,22138000
Belgium,Cadmium and compounds (as Cd),2013,346.3
Belgium,Nitrous oxide (N2O),2013,4660300
Belgium,Tetrachloroethylene,2013,234630
Belgium,Tetrachloromethane (TCM),2013,644
Belgium,Mercury and compounds (as Hg),2014,884.9000000000001
Belgium,Polycyclic aromatic hydrocarbons (PAHs),2014,1924
Belgium,Dichloromethane (DCM),2015,122380
Belgium,Fluorine and inorganic compounds (as HF),2015,49410
Belgium,Hydrochlorofluorocarbons (HCFCs),2015,67.89
Belgium,Nitrogen oxides (NOX),2015,43657000
Belgium,Non-methane volatile organic compounds (NMVOC),2015,17623000
Belgium,Cadmium and compounds (as Cd),2016,1497.4
Belgium,Nitrous oxide (N2O),2016,3726700
Belgium,Tetrachloromethane (TCM),2016,418
Belgium,Mercury and compounds (as Hg),2017,484.9
Belgium,Polycyclic aromatic hydrocarbons (PAHs),2017,228
Belgium,Dichloromethane (DCM),2018,21100
Belgium,Nitrogen oxides (NOX),2018,39158000
Belgium,Cadmium and compounds (as Cd),2019,218.1
Belgium,Nitrous oxide (N2O),2019,2856000
Belgium,Tetrachloromethane (TCM),2019,654
Belgium,Benzene,2020,59020
Belgium,Mercury and compounds (as Hg),2020,473.5
Belgium,Polycyclic aromatic hydrocarbons (PAHs),2020,124
Belgium,Copper and compounds (as Cu),2021,1539
Belgium,Dichloromethane (DCM),2021,19200
Belgium,Nitrogen oxides (NOX),2021,33614000
Bulgaria,Nickel and compounds (as Ni),2007,203.3
Bulgaria,Particulate matter (PM10),2008,17816600
Bulgaria,Sulphur oxides (SOX),2008,745561000
Bulgaria,Ammonia (NH3),2009,10976600
Bulgaria,Nickel and compounds (as Ni),2010,133
Bulgaria,Ammonia (NH3),2012,7092200
Bulgaria,Non-methane volatile organic compounds (NMVOC),2013,319000
Austria,Mercury and compounds (as Hg),2007,461.8
Austria,Sulphur oxides (SOX),2007,11475000
Austria,Hydrogen cyanide (HCN),2009,1193
Austria,Mercury and compounds (as Hg),2010,331.8
Austria,Hydrogen cyanide (HCN),2012,846
Austria,Mercury and compounds (as Hg),2013,347.7
Austria,Cadmium and compounds (as Cd),2016,136.5
Austria,Mercury and compounds (as Hg),2016,468.5
Austria,Nitrous oxide (N2O),2016,159200
Austria,Hydro-fluorocarbons (HFCS),2017,509
Austria,Particulate matter (PM10),2018,1058800
Austria,Cadmium and compounds (as Cd),2019,47.3
Austria,Nitrous oxide (N2O),2019,39600
Austria,Hydro-fluorocarbons (HFCS),2020,376
Austria,Particulate matter (PM10),2021,848100
Belgium,Hydro-fluorocarbons (HFCS),2007,190296
Belgium,Sulphur hexafluoride (SF6),2007,96.5
Belgium,Particulate matter (PM10),2008,4488300
Belgium,Cadmium and compounds (as Cd),2009,495.1
Belgium,Nitrous oxide (N2O),2009,7089200
Belgium,Tetrachloroethylene,2009,143450
Belgium,Hydro-fluorocarbons (HFCS),2010,232209
Belgium,Polycyclic aromatic hydrocarbons (PAHs),2010,8553
Belgium,Particulate matter (PM10),2011,1845200
Belgium,Cadmium and compounds (as Cd),2012,387.6
Belgium,Carbon dioxide (CO2),2012,47518000000
Belgium,Nitrous oxide (N2O),2012,5351400
Belgium,Ammonia (NH3),2013,3363900
Belgium,Fluorine and inorganic compounds (as HF),2013,24120
Belgium,Hydro-fluorocarbons (HFCS),2013,110489
Belgium,Polycyclic aromatic hydrocarbons (PAHs),2013,4509.3
Belgium,Particulate matter (PM10),2014,1437400
Belgium,Cadmium and compounds (as Cd),2015,586.8
Belgium,Carbon dioxide (CO2),2015,46745000000
Belgium,Nitrous oxide (N2O),2015,3972800
Belgium,Polychlorinated biphenyls (PCBs),2015,2.259
Belgium,Ammonia (NH3),2016,2504600
Belgium,Benzene,2016,73190
Belgium,Fluorine and inorganic compounds (as HF),2016,75740
Belgium,Hydro-fluorocarbons (HFCS),2016,107756
Belgium,Polycyclic aromatic hydrocarbons (PAHs),2016,377
Belgium,Copper and compounds (as Cu),2017,1454
Belgium,Carbon dioxide (CO2),2018,43465000000
Belgium,Di-(2-ethyl hexyl) phthalate (DEHP),2018,41.3
Belgium,Polychlorinated biphenyls (PCBs),2018,8.31
Belgium,Ammonia (NH3),2019,2727800
Belgium,Benzene,2019,50610
Belgium,Fluorine and inorganic compounds (as HF),2019,81850
Belgium,Nitrogen oxides (NOX),2019,37664000
Belgium,Polycyclic aromatic hydrocarbons (PAHs),2019,176
Belgium,Copper and compounds (as Cu),2020,1589
Belgium,Di-(2-ethyl hexyl) phthalate (DEHP),2021,247
Belgium,Polychlorinated biphenyls (PCBs),2021,12.923
Bulgaria,Chlorine and inorganic compounds (as HCl),2007,12400
Bulgaria,Arsenic and compounds (as As),2009,213.2
Bulgaria,Nickel and compounds (as Ni),2009,413.6
Bulgaria,Particulate matter (PM10),2009,15791200
Bulgaria,Lead and compounds (as Pb),2010,12867
Bulgaria,Particulate matter (PM10),2012,3870900
Bulgaria,Lead and compounds (as Pb),2013,3860
Austria,Hydrochlorofluorocarbons (HCFCs),2007,1169
Austria,Non-methane volatile organic compounds (NMVOC),2007,3457000
Austria,Hydrochlorofluorocarbons (HCFCs),2010,652
Austria,Non-methane volatile organic compounds (NMVOC),2010,3131000
Austria,Cadmium and compounds (as Cd),2011,17.1
Austria,Nitrous oxide (N2O),2011,187500
Austria,Hydrochlorofluorocarbons (HCFCs),2013,552
Austria,Non-methane volatile organic compounds (NMVOC),2013,3221000
Austria,Cadmium and compounds (as Cd),2014,15.5
Austria,Nitrous oxide (N2O),2014,192600
Austria,Mercury and compounds (as Hg),2015,540.9
Austria,Polycyclic aromatic hydrocarbons (PAHs),2015,109
Austria,Cadmium and compounds (as Cd),2017,147.9
Austria,Nitrous oxide (N2O),2017,25000
Austria,Ammonia (NH3),2018,237900
Austria,Benzene,2018,4660
Austria,Mercury and compounds (as Hg),2018,497.1
Austria,Polycyclic aromatic hydrocarbons (PAHs),2018,134
Austria,Copper and compounds (as Cu),2019,290
Austria,Sulphur hexafluoride (SF6),2019,312
Austria,Ammonia (NH3),2021,159700
Austria,Mercury and compounds (as Hg),2021,242.70000000000002
Belgium,Cadmium and compounds (as Cd),2007,1201.5
Belgium,Nitrous oxide (N2O),2007,6810800
Belgium,Ammonia (NH3),2008,3640200
